timestamp,exch.flow.in.ntv.incl - flow_in,exch.flow.in.ntv - flow_in,sply.total.iss - issuance_total_usd,exch.sply.usd - supply_usd,exch.flow.out.usd.incl - flow_out_usd,txn.fee.avg - transaction_fee_avg,txn.tsfr.cnt - transfers_count,txn.cnt - transaction_count,sply.circ - circulating_supply,daily.shp - sharpe_30d,daily.shp - sharpe_90d,daily.shp - sharpe_1yr,daily.shp - sharpe_3yr,fees.ntv - fees_total,sply.total.iss.ntv - issuance_total,blk.size.byte - block_count,mcap.realized - marketcap_realized,min.rev.usd - revenue_usd,txn.fee.med - transaction_fee_median_usd,act.addr.cnt - active_addresses,exch.flow.in.usd - flow_in_usd,exch.flow.out.ntv - flow_out,mcap.circ - circulating_marketcap,exch.flow.out.usd - flow_out_usd,exch.flow.out.ntv.incl - flow_out,new.iss.ntv - issuance_native,txn.fee.avg.ntv - transaction_fee_avg_ntv,exch.sply - supply_usd,blk.size.bytes.avg - block_count,iss.rate - issuance_rate,txn.tsfr.val.adj - adjusted_transfer_value_usd,mcap.out - marketcap_oustanding,new.iss.usd - issuance_usd,txn.tfr.val.ntv - transaction_volume,fees - fees_total_usd,diff.avg - mean_difficulty,min.rev.ntv - revenue_native,txn.tfr.avg.ntv - transfer_value_avg,txn.tsfr.val.avg - average_transfer_value_usd,nvt.adj - nvt_adjusted,exch.flow.in.usd.incl - flow_in_usd,txn.vol - transaction_volume_usd,hashrate - hash_rate,txn.fee.med.ntv - transaction_fee_median,price - open,price - high,price - low,price - close,price - volume,real.vol - volume,txn.tfr.val.med - transfer_value_median_usd,daily.vol - volatility_30d,daily.vol - volatility_90d,daily.vol - volatility_1yr,daily.vol - volatility_3yr,mcap.dom - marketcap_dominance,txn.tfr.val.adj.ntv - transaction_volume_adjusted,blk.cnt - block_count,nvt.adj.90d.ma - nvt_adjusted_90d_ma,sply.out - supply_outstanding,txn.tfr.val.med.ntv - transfer_value_median
2017-03-03,67383.56255852,61154.62711965,2433673.0232320353,755185723.9329337,79320047.56356944,0.9971779564456622,702163,335165,16198960.5608508,8.905630537814277,3.5330680992866155,2.4693891026958887,0.6154053702837012,259.212572589357,1887.5,148779338,8121081024.260392,0,0.6410713786230293,732359,78850525.17451996,55289.84228806,20411792128.797825,71288687.48885055,61518.77772693,1887.5,0.000773387950979368,585704.42303313,985293.629139073,4.25386948643911,616921323.9401615,20881944223.053173,2433673.0232320353,1579814.20430023,334219.14977128146,446207502869.165,2146.71257259,2.24992516595182,2900.970691744532,33.8486342,86881885.24923885,2036954283.8274186,3349345.38703688,0.0004972,1259.6854317772734,1294.1470470597628,1256.205804643603,1289.4751716002206,107122428.03334478,107122428.03334478,31.075722333824814,0.40760682268240506,0.6303898767906413,0.5097718486142567,0.6346244923527634,86.13819371868513,478469.78119954,151,56.00420074138132,16195548.59866437,0.024101605
2017-03-04,49467.55174082,46767.59800623,2093752.096271187,776703135.1874542,29292412.49476844,1.0480813130108633,594458,267483,16200614.53470985,7.509577924624094,3.5183587828138614,2.444013846081839,0.6110884142124527,220.927535629674,1650.0,130137984,8142410403.9616165,0,0.6146748578386443,626694,59345306.886734694,20384.19300009,20889193349.972157,25866331.40893024,23084.14673468,1650.0,0.000825949819726861,612087.82803927,985893.818181818,3.7182355722283,414059324.43345284,20553283951.317654,2093752.096271187,1115807.3271163,280343.9338476711,460769358090.713,1870.92753563,1.87701625197457,2381.822249882935,49.63850042,62771387.9725729,1415893291.020911,3023455.91166441,0.0004844,1288.986664284998,1293.5935959055018,1236.692594745371,1266.602512818003,61028608.307587594,61028608.307587594,24.141767447328686,0.41377905332561016,0.6306882830858275,0.5101313291760006,0.6346875840584241,86.02041454122012,326303.14091717,132,54.73068316392499,16197198.59866431,0.019025135
2017-03-05,23922.7443163,21270.47488067,2345152.8923911513,779324852.9650644,32398702.60011477,0.9974489019742244,641559,278466,16202455.19272197,7.1399468448499155,3.5148596265717384,2.511935851856608,0.6176676588431903,217.630128749661,1837.5,144537761,8164800281.357986,0,0.5780626392112785,695966,27146947.313706983,22733.11853667,20542938963.112568,29013680.919370096,25385.3879723,1837.5,0.000781532139471246,610625.18438327,983250.074829932,4.14029264405,377782004.30294085,20674403461.622402,2345152.8923911513,908634.18245289,277755.6059367217,460769358090.713,2055.13012875,1.41629091393448,1807.5748208330629,54.72574984,30531968.99445166,1159665894.4788377,3367030.44708082,0.00045293,1266.7495754066463,1278.6047970768184,1246.446620786183,1277.2332212971194,37714825.20580696,37714825.20580696,17.65350692150034,0.41106796811319024,0.6306824532962096,0.5093379493686548,0.6346882774138326,86.23618592480456,296003.91307488,147,54.97758655225441,16199036.09866426,0.01383207
2017-03-06,38107.39505466,34465.96048099,2276002.0155245513,793623517.3301008,38216853.56407931,1.0635971866466902,646585,287019,16204233.60446959,6.967921918492392,3.6697050869566183,2.5718617748112353,0.6208253843771154,238.074862379608,1775.0,137114489,8201968628.700549,0,0.6550269687946827,675606,44194138.32209734,26162.98326671,20658732202.116398,33547607.125164546,29804.41784038,1775.0,0.000829474224284803,618928.16159755,965594.992957746,3.99902817244391,488654871.29457355,20773565472.502632,2276002.0155245513,1377094.30443715,305272.60091364395,460769358090.713,2013.07486238,2.1297962440161,2730.9411515702886,42.51173311,48863384.7610121,1765785584.4880753,3252505.60194202,0.00051084,1275.308363499432,1288.0530536161325,1267.9500067753825,1282.7552972349793,47981132.55995035,47981132.55995035,27.06839580153424,0.41094906969238043,0.628944800754856,0.5086403218851693,0.6346930054680829,85.93015552242757,381090.34641956,142,54.96146047158759,16200811.09866417,0.02111
2017-03-07,44457.4281531,40444.67701942,2360936.233706905,765566893.2919289,53367002.53099073,1.0130950176545575,698378,327507,16206152.46206664,5.11236145785382,3.3988466478692185,2.4601858556267038,0.6295778819092609,268.774432029545,1912.5,149153063,8218482051.43861,0,0.617238231034485,738688,49928001.79645578,39217.72281278,20756557994.345215,48413355.70832219,43230.47394646,1912.5,0.000820667747651195,620155.11580419,974856.620915033,4.30830345126394,517417844.3131541,20001880903.960194,2360936.233706905,1409996.1115269,331795.7099464296,460769358090.713,2181.27443203,2.01895837430002,2492.356590970408,38.6571146,54881648.61912431,1740607011.2887323,3504460.26124739,0.0005,1282.6974708731768,1286.1042806693301,1169.3167493737915,1233.3529959550203,150595489.60758868,150595489.60758868,30.86191155172425,0.4373637980686586,0.6348662101082035,0.5101417280524014,0.6343031839229158,85.69637502283027,419139.49776407,153,52.62276364347747,16202723.59866404,0.025
2017-03-08,52173.20980154,45866.60601215,2045047.4159117565,723541832.8810467,51074113.5551653,0.9108374565348536,645308,298430,16207932.88428478,3.3667087060569307,2.8589421552585663,2.2775078008204224,0.6030961829103301,235.927375359579,1775.0,139079209,8224362770.469161,0,0.5580963201507915,686030,52844723.437628165,38023.20042691,19989763571.59659,43808026.917040616,44329.8042163,1775.0,0.000790561858258218,627998.52138943,979431.049295775,3.99811815253216,477240333.965955,18669841118.503216,2045047.4159117565,1391882.88280331,271821.2221532113,460769358090.713,2010.92737536,2.15692798292181,2485.0816888912705,39.12041751,60110810.07575285,1603643094.495051,3252505.60194202,0.0004844,1233.1224527486868,1245.5753657933053,1143.9019695546735,1149.1638746602725,160474028.36896828,160474028.36896828,25.48379094473515,0.49753330852863764,0.6519851120536705,0.5150725816542863,0.6354566656029393,85.64422960230937,414221.00348314,142,48.876744007403595,16204498.59866386,0.02211867
2017-03-09,38630.78136867,35004.18211814,2207892.724196384,755090312.5538636,40502113.01138903,0.9273104336114905,670131,304802,16209787.16056553,3.8374345643503998,2.9929661569545933,2.342066386669885,0.6024639936750482,236.830002029546,1850.0,146788384,8241255052.743996,0,0.5553745292998851,705017,41775934.602749445,30310.24389856,18676342053.92355,36173928.093107276,33936.84314909,1850.0,0.000776996220595665,632692.45960901,991813.405405405,4.16657704165504,460264978.42402446,19341556300.890316,2207892.724196384,1254213.25068697,282646.0747851078,460769358090.713,2086.83000203,1.87159413709703,2233.6643664568337,42.02265479,46104119.5210312,1496847735.5580845,3389935.41610858,0.00046535,1152.1162852834107,1207.931542681003,1134.5987379684082,1191.9489653185974,87426101.2324718,87426101.2324718,26.842085823204293,0.5072843535682128,0.6545229868188936,0.5160008099147851,0.6354343829124001,86.06476709631083,385657.41929077,148,50.41013924987575,16206348.59860357,0.022491065
2017-03-10,57473.81594403,49254.9415674,2142133.7906195177,698995904.7790134,59172556.76364714,0.910406323138818,674666,307987,16211746.16362839,1.5251649645958223,2.539869992388382,2.1946511667873696,0.5771794314356423,255.244075449606,1950.0,154722499,8233258058.471452,0,0.5461891901005251,747049,54108038.30077815,45646.33525425,19323427862.981068,50143875.469782494,53865.20963088,1950.0,0.000828749510368944,636301.06592216,991810.891025641,4.39126905066597,474681341.1908083,17805304675.138165,2142133.7906195177,1368906.05198308,280393.3122441224,460769358090.713,2205.24407545,2.02901295156875,2228.931900082083,37.51001594,63136719.594642796,1503784569.300776,3573175.16833067,0.0004972,1192.2237520133624,1326.3361636772627,1009.6431352477612,1114.4406509369978,338375502.79229325,338375502.79229325,26.61649570171308,0.5517054756114437,0.6690556234270029,0.5203991553121319,0.6364604998484004,85.68779417619686,432105.88403742,156,46.09020915716016,16208298.59860345,0.02422919
2017-03-11,45612.73312195,38870.7694561,2191832.6910907375,740332811.6174265,62158977.510498285,0.9282642320602509,637757,278371,16213612.80990226,2.5570481176895825,2.8399893845827306,2.277770855167362,0.6017112199087167,219.575806899683,1862.5,148637864,8253865655.817571,0,0.582539114317759,690924,45744012.468043655,46077.34872231,18039273036.293396,54224880.13334072,52819.31238816,1862.5,0.000788788368400444,629094.48665595,997569.55704698,4.19374302244639,489229478.73919225,19076489140.27723,2191832.6910907375,1202264.99639992,258401.84254247104,460769358090.713,2082.0758069,1.88514590416086,2218.4829101828614,38.99292657,53678109.845201224,1414853005.349494,3412840.38513634,0.00049501,1112.433524917591,1199.0943227126509,1105.6905227930624,1176.4829539156271,108121623.9638915,108121623.9638915,22.97344280576812,0.5822726087971082,0.677231412032492,0.523193046073994,0.6372753857930442,84.4779963409312,415720.55561335,149,48.95368936344189,16210161.09860343,0.01952158
2017-03-12,38205.42618988,32953.61201667,2386512.440977503,781851558.2499734,40094012.779588826,1.0433052128101363,518502,221735,16215553.5981378,5.101904580013563,3.119271874967063,2.3306032283612046,0.6215874915673529,187.812129089776,1937.5,148823629,8277306551.130458,0,0.5582899426441565,598360,40590557.44667288,27298.67600091,19082669556.539368,33625099.302392624,32550.49017412,1937.5,0.000847011653956299,634749.42267171,960152.44516129,4.36209720597752,364279118.23945653,19969225806.410828,2386512.440977503,843109.1991115,231337.28136217972,460769358090.713,2125.31212909,1.62604811381923,2002.8820920039202,54.81847519,47059470.92386908,1038498370.4682186,3550270.19930291,0.00045325,1176.9170651843012,1238.8069518063244,1170.2667552831026,1227.5641326676327,69607480.44478938,69607480.44478938,22.49214378656988,0.542991120921026,0.6809094149856709,0.5246216704258702,0.637731899842947,83.52433915635899,295741.50943871,155,51.15997814109764,16212098.59860341,0.01826034
