,Price,Price,Price,Price,Price,Median Transaction Fees (Native Units),Deposits on Exchanges,New Issuance (Native Units),Annual Issuance Rate,Realized Marketcap,Deposits on Exchanges - Inclusive,Circulating Supply,Deposits on Exchanges (Native Units),Total Issuance,Block Size (bytes),Sharpe Ratio,Sharpe Ratio,Sharpe Ratio,Sharpe Ratio,Supply on Exchanges,Outstanding Marketcap,Withdrawals from Exchanges,Adjusted Transaction Volume (Native Units),Miner Revenue,Supply on Exchanges (Native Units),Outstanding Supply,New Issuance,Transactions Count,Median Transaction Fees,Total Issuance (Native Units),Withdrawals from Exchanges - Inclusive (Native Units),Deposits on Exchanges - Inclusive (Native Units),Withdrawals from Exchanges (Native Units),Transactions Transfer Count,Withdrawals from Exchanges - Inclusive,Hash Rate,Median Transfer Value (Native Units),Total Fees (Native Units),Average Transaction Fees,Average Block Size (bytes),Miner Revenue (Native Units),Transaction Volume (Native Units),Volatility,Volatility,Volatility,Volatility,Adjusted NVT,Transaction Volume,Median Transfer Value,Real Volume,Adjusted Transaction Volume,Average Transfer Value,Average Difficulty,Circulating Marketcap,Marketcap Dominance,Total Fees,Average Transaction Fees (Native Units),Adjusted NVT 90-days MA,Block Count,Average Transfer Value (Native Units),Active Addresses Count
,open,high,low,close,volume,transaction_fee_median,flow_in_usd,issuance_native,issuance_rate,marketcap_realized,flow_in_usd,circulating_supply,flow_in,issuance_total_usd,block_count,sharpe_30d,sharpe_90d,sharpe_1yr,sharpe_3yr,supply_usd,marketcap_oustanding,flow_out_usd,transaction_volume_adjusted,revenue_usd,supply_usd,supply_outstanding,issuance_usd,transaction_count,transaction_fee_median_usd,issuance_total,flow_out,flow_in,flow_out,transfers_count,flow_out_usd,hash_rate,transfer_value_median,fees_total,transaction_fee_avg,block_count,revenue_native,transaction_volume,volatility_30d,volatility_90d,volatility_1yr,volatility_3yr,nvt_adjusted,transaction_volume_usd,transfer_value_median_usd,volume,adjusted_transfer_value_usd,average_transfer_value_usd,mean_difficulty,circulating_marketcap,marketcap_dominance,fees_total_usd,transaction_fee_avg_ntv,nvt_adjusted_90d_ma,block_count,transfer_value_avg,active_addresses
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,453.99005285421987,455.2293550375852,446.0550606650179,448.72490710425933,18980107.184284512,0.0001,15652519.745763626,3775.0,9.14687609669571,4576703173.147686,16542332.287908435,15066617.75088931,34795.34555535,1698165.6913354753,99053100,1.6625933386405334,3.6623776548344478,1.1137494924517135,1.6162815422921695,212391972.58021054,6776417115.362054,14452404.926317714,231917.70077152,0,472144.56197131,15063886.13373428,1698165.6913354753,185614,0.0449845216247808,3775.0,34105.54767356,36773.387135,32127.50609391,501477,15342217.468462523,779751.882424272,0.0046,31.13701962,0.07546219209903983,655980.794701987,3806.13701962,742744.44580494,0.6088464363552636,0.6901387110446864,0.6717984942235931,1.029613622605695,64.95358519,334120035.83998156,2.0692879947399168,18980107.184284512,104327068.25525884,666.271904474146,103880340815.456,6839994852.195342,94.24694904403034,14006.83932427114,0.000167751460665683,41.64917340447399,151,1.48111368179386,461784
2016-01-10,448.7603960354814,449.70851213417177,437.63420737045806,447.23058680703656,20005809.93935368,0.0001,14537975.186777093,4375.0,10.5976063583407,4586881896.637237,15452431.344991101,15070993.63822237,32408.86392267,1962538.44608416,89485827,1.7321131282100641,3.5877314624500305,1.0721969215205556,1.6159078599451564,211629419.67920244,6759323837.84895,14703265.216891475,263837.67665294,0,471776.08823099,15068261.13373425,1962538.44608416,155959,0.0448580216247808,4375.0,34815.89425798,34447.42051766,32777.33766299,443434,15617721.375105485,903685.95645197,0.005,27.22692411,0.07831198908063328,511347.582857143,4402.22692411,986169.12326256,0.6083087795707556,0.6904223407085428,0.6714228611049027,1.0296163208973799,57.11186258,442375958.5700304,2.24290108123904,20005809.93935368,118352362.04729506,997.6139821710361,103880340815.456,6762649196.191014,94.15081162180846,12213.459505026458,0.00017457744734193,41.482959034825974,175,2.22393664730842,427477
2016-01-11,446.93722542239993,450.530408430089,442.4071982967948,448.14455995791985,24950590.777824566,0.0001,23453576.700655848,4250.0,10.2919147727687,4594168986.410055,25174834.78570593,15075244.65535122,52231.29172567,1908390.5008766798,112455229,-0.07900538307910392,3.6546083762954886,1.159642750842252,1.6082375059859324,213482123.29147243,6768055781.641483,21814513.484660972,379277.33168317,0,475426.29434173,15072511.13373418,1908390.5008766798,192900,0.0449033059029807,4250.0,52414.34031731,56064.54642805,48581.08561493,463113,23535771.569711056,877866.357696199,0.015931545,36.22881672,0.0843335220156132,661501.347058824,4286.22881672,1303067.01040677,0.5151221305136412,0.6898124136392692,0.6691249208624024,1.0295363377702733,39.74007903,585120165.8037773,7.153790386421027,24950590.777824566,170308060.46635658,1263.450099227999,103880340815.456,6737062219.143954,94.17409253415737,16267.93639681182,0.000187811387869362,41.38829321329602,170,2.81371287441028,452499
2016-01-12,448.46786710973726,448.59762999403006,430.5098995570579,432.16675829796134,27313230.008494105,0.0001,20819451.351497862,4250.0,10.2890135768557,4597936532.414538,23064320.49491192,15079495.23475302,47127.55098196,1877514.6681765043,103402891,0.06729734348628567,3.3191371308858306,1.1527238219769325,1.5958854303131265,211710482.5286577,6660432982.865688,19137166.76716915,347199.95387904,0,479234.365514,15076761.13373409,1877514.6681765043,194437,0.0441768157218001,4250.0,48401.03470842,52209.10588069,43319.47980969,476801,21382035.91058321,877866.357696199,0.0115,34.68087562,0.07879625026797418,608252.3,4284.68087562,1123158.11894088,0.5093241701437413,0.6948635729456893,0.6693616645438935,1.0298047421162464,43.42385696,496175492.46894896,5.080333808007011,27313230.008494105,153381883.81131843,1040.6343369014526,103880340815.456,6762415127.646596,94.12366059366225,15320.906513354097,0.000178365617757937,40.59731258492224,170,2.35561191973356,453665
2016-01-13,432.15661129665693,435.50852610436976,418.155475158402,431.4932157551596,36931309.20959524,0.0001,30264056.09852662,3700.0,8.95529644633364,4597822853.841539,32849228.743223596,15083196.0465408,70005.34553563,1599549.3873758048,100833058,0.1392458564781195,3.261493192053668,1.144212242125564,1.595888861475098,209710116.7085739,6519443883.191552,27732057.16491251,387934.46885866,0,485091.26254282,15080461.13373393,1599549.3873758048,192477,0.0432310645236704,3700.0,70128.34438303,75985.24141185,64148.44850681,425581,30317229.809609488,813710.194014571,0.02328234,35.01876885,0.07865348356914607,681304.445945946,3735.01876885,1251351.58341021,0.5091036625004821,0.6950173460810516,0.6693668737092581,1.0298047221378455,38.87373344,540972610.4420391,10.065203428020324,36931309.20959524,167708200.54184535,1271.1390086541417,110601730636.615,6517160962.582923,93.88725529959386,15138.986556938491,0.000181937420315155,39.56816427400952,148,2.94033705313491,430325
2016-01-14,431.4703901323516,434.28682172797494,426.76,428.25,21415709.263426285,0.0001,19534018.302697532,3325.0,8.04589105971088,4598486545.806147,20608329.692565344,15086521.48646096,45446.63289266,1429162.2222019301,95289068,-0.6012484312315872,3.1712021228194915,1.3931703973404543,1.5962375966569065,206446498.70634708,6483361597.024275,21591010.34715843,334506.94382252,0,480305.59269962,15083786.13373384,1429162.2222019301,181837,0.0429823224722385,3325.0,52731.72884426,47946.05900106,50232.30273586,429347,22665321.737026237,749438.083305595,0.01885521,31.74043995,0.07502751504598179,716459.157894737,3356.74043995,1053794.35640679,0.502669934158869,0.6955401289029777,0.6518684243297914,1.029800455449292,45.09259497,452945288.4650168,8.104407165017761,21415709.263426285,143778853.28582522,1054.9632079996306,113354299801.471,6509222962.127815,93.81549104397544,13642.778253416216,0.000174554353349428,39.27819628867399,133,2.45441183100567,427750
2016-01-15,428.6983014399914,429.5261783450919,358.1256879573935,358.60301244132114,101496858.14280896,0.0001,44672150.48678053,3050.0,7.37894937104813,4582967154.705615,47812591.164003775,15089572.22191749,121450.06215208,1121860.7596434825,94288188,-3.902113024295718,1.8303270281404014,1.5104220565662003,1.5387241215814065,185277132.0164439,5549288342.816035,36062558.49886408,576199.30803062,0,503712.46858633,15086836.13371737,1121860.7596434825,179113,0.0367823199883109,3050.0,106581.09436421,129987.97025092,98043.18626537,408167,39202999.17608732,687454.482430696,0.02356151,35.51030784,0.07292332247543777,772854.0,3085.51030784,1559613.71572872,0.7192114035686398,0.7706658709184996,0.6361301188926133,1.0343238447097607,26.18336385,573662107.5009233,8.66647000227787,101496858.14280896,211939473.25025582,1405.459303424637,113354299801.471,6468361824.008393,93.72410073190441,13061.515058543053,0.000198256451737172,33.408009764467096,122,3.8210186412148,410879
2016-01-16,358.66628996149313,391.4085802571141,352.95990355389523,387.95024554722744,56925773.751793526,0.0001,30971659.637093034,3550.0,8.58659273870289,4585145626.208406,32433013.126846697,15093123.22304873,79809.21870333,1377652.77618352,108094750,-2.014960473857251,2.0573820667114537,1.4011181284844312,1.565810846280576,194242251.302758,5856144324.168158,32205712.769887596,427349.99030114,0,500532.50285247,15090386.13371732,1377652.77618352,197424,0.0388071204558738,3550.0,86754.86834413,83574.90261027,82989.18443719,503354,33667066.25964126,800151.938566876,0.01,34.99543345,0.06878961024493818,761230.633802817,3584.99543345,1351489.30331576,0.7771835557313735,0.784297759355924,0.6161743523982692,1.0352625469019747,35.31153967,524474081.8859966,3.88071204558738,56925773.751793526,165842225.5043284,1041.958704780327,113354299801.471,5413612540.805592,93.27729564222862,13580.720012996653,0.000177260279651917,35.06204988858745,142,2.68496784234507,511206
2016-01-17,388.0582959826769,391.20691442908117,377.85440407911443,381.14004786099997,24262346.654992767,0.0001,16173548.445814436,3775.0,9.1285298188722,4585505995.798604,17508624.923275944,15096899.06554239,42285.76714233,1443869.8765341893,111361234,-2.3057823558681623,2.1375059868531205,1.3851029941800925,1.5504603242146928,192384152.78843588,5773246244.378153,15234111.709019508,339764.88884452,0,502988.6616373,15094161.13371728,1443869.8765341893,196195,0.0382482086499123,3775.0,43320.16784927,45776.3266341,39829.6083575,585597,16569188.186481016,850865.793828157,0.0029,35.20224107,0.06862675712377335,737491.61589404,3810.20224107,10200637.9540965,0.7782151708114862,0.7821027402040064,0.6164122686266311,1.035236259522903,44.42531182,3901561288.3049746,1.1091980508474566,24262346.654992767,129953983.60439461,6662.536331820305,113354299801.471,5858404895.516489,93.53318492331857,13464.22661389872,0.000179424761436326,34.55519727111333,151,17.4192114271359,521728
2016-01-18,381.32543964332456,387.79110653883095,374.7171399112442,386.1333051127642,26112772.226562757,0.0001,21328463.7265925,4325.0,10.4555184276453,4584838371.51732,22903672.128545087,15101224.71032424,55418.01539671,1664541.8454120408,115723819,-2.3483225917075106,2.1995382113560344,1.466531791086137,1.5382148475751887,192326270.2939697,5810881380.77361,22585008.476110425,412262.84109636,0,499723.76562003,15098486.1336572,1664541.8454120408,216659,0.0384865166569258,4325.0,62775.79520493,59510.89918766,58682.91141398,501343,24160216.878063012,974832.995577956,0.01667306,40.80837867,0.07249051945338478,668923.809248555,4365.80837867,9344738.99865973,0.777457671048173,0.7822145726277401,0.6152858928534358,1.0348782012098037,36.62344657,3596464531.265418,6.416880014119233,26112772.226562757,158665607.00886613,7173.660610132029,113354299801.471,5759132793.791358,93.22673907890795,15705.723454250905,0.000188353027891756,34.702846695166166,173,18.6394125352498,476975
