,Price,Price,Price,Price,Price,Median Transaction Fees (Native Units),Deposits on Exchanges,New Issuance (Native Units),Annual Issuance Rate,Realized Marketcap,Deposits on Exchanges - Inclusive,Circulating Supply,Deposits on Exchanges (Native Units),Total Issuance,Block Size (bytes),Sharpe Ratio,Sharpe Ratio,Sharpe Ratio,Sharpe Ratio,Supply on Exchanges,Outstanding Marketcap,Withdrawals from Exchanges,Adjusted Transaction Volume (Native Units),Miner Revenue,Supply on Exchanges (Native Units),Outstanding Supply,New Issuance,Transactions Count,Median Transaction Fees,Total Issuance (Native Units),Withdrawals from Exchanges - Inclusive (Native Units),Deposits on Exchanges - Inclusive (Native Units),Withdrawals from Exchanges (Native Units),Transactions Transfer Count,Withdrawals from Exchanges - Inclusive,Hash Rate,Median Transfer Value (Native Units),Total Fees (Native Units),Average Transaction Fees,Average Block Size (bytes),Miner Revenue (Native Units),Transaction Volume (Native Units),Volatility,Volatility,Volatility,Volatility,Adjusted NVT,Transaction Volume,Median Transfer Value,Real Volume,Adjusted Transaction Volume,Average Transfer Value,Average Difficulty,Circulating Marketcap,Marketcap Dominance,Total Fees,Average Transaction Fees (Native Units),Adjusted NVT 90-days MA,Block Count,Average Transfer Value (Native Units),Active Addresses Count
,open,high,low,close,volume,transaction_fee_median,flow_in_usd,issuance_native,issuance_rate,marketcap_realized,flow_in_usd,circulating_supply,flow_in,issuance_total_usd,block_count,sharpe_30d,sharpe_90d,sharpe_1yr,sharpe_3yr,supply_usd,marketcap_oustanding,flow_out_usd,transaction_volume_adjusted,revenue_usd,supply_usd,supply_outstanding,issuance_usd,transaction_count,transaction_fee_median_usd,issuance_total,flow_out,flow_in,flow_out,transfers_count,flow_out_usd,hash_rate,transfer_value_median,fees_total,transaction_fee_avg,block_count,revenue_native,transaction_volume,volatility_30d,volatility_90d,volatility_1yr,volatility_3yr,nvt_adjusted,transaction_volume_usd,transfer_value_median_usd,volume,adjusted_transfer_value_usd,average_transfer_value_usd,mean_difficulty,circulating_marketcap,marketcap_dominance,fees_total_usd,transaction_fee_avg_ntv,nvt_adjusted_90d_ma,block_count,transfer_value_avg,active_addresses
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-09,711.0365972427733,742.7329801705644,707.4343704284577,724.7135544961972,50504526.48673853,0.0001677,45138930.35701815,1837.5,4.19793015507021,6211906238.746838,50136525.46655756,15979716.43508715,62562.48910836,1325759.0245068672,131254915,4.1493355948898,2.6434174424314465,1.3386886230433852,0.6705543695643722,477884721.9958519,11527158053.369602,38650908.51279711,504794.37762076,0,662347.50089218,15976623.60318101,1325759.0245068672,272305,0.12099580321621857,1837.5,60496.75991146,69489.14836093,53570.10065889,589125,43648503.62233652,1860614.01011266,0.03028322,84.5236526100506,0.2239545472297477,892890.578231293,1922.02365261,2324259.61707511,0.41469036424436745,0.2898697019570266,0.5491114837937717,0.8181813513140369,31.64976535,1676956823.202287,21.84938895571529,50504526.48673853,364209905.6604353,2846.5212360743285,254620187304.062,11412584777.49562,85.17529014572777,60983.94298343292,0.00031040066326362,50.86141022264085,147,3.94527412191829,615584
2016-11-10,723.4592580428414,724.9295023609861,706.109161872273,713.6595310011375,23148041.561210383,0.0001582,32515925.74195604,2100.0,4.79700393495405,6218567928.399017,37182226.358322084,15981818.38533346,45578.32721534,1498155.9927703089,132505354,3.701310411666974,2.6094667748187756,1.5495026552507123,0.6866773877870999,469853681.30646104,11399343106.154873,35185995.74885548,352959.00404426,0,658604.80183978,15978723.60318049,1498155.9927703089,265908,0.11286108478869661,2100.0,55861.88806161,52119.18900921,49321.02626774,580369,39852296.36522152,2126416.01155733,0.029403365,80.4920059400604,0.21595292369132046,788722.345238095,2180.49200594,1484776.92945287,0.41794445654069534,0.2902282114875983,0.5378662906392067,0.8176859181307167,45.27076352,1059251168.9461502,20.976584515410835,23148041.561210383,251803641.48149896,1825.1339560626934,254620187304.062,11567548394.847227,85.56350130253846,57423.61003295466,0.000302706221475097,50.23658752087312,168,2.5583325943544,603667
2016-11-11,711.415125985551,721.8179675747604,709.7138134507289,716.9936379888635,18996422.831241414,0.0001557,23311440.727134272,2037.5,4.65364255931751,6225767840.35685,27537918.93919442,15983857.75186228,32571.37473122,1458245.4954229996,124438743,2.8512910687088953,2.7015737055263704,1.7118579714798476,0.662241116105976,464224119.0480009,11437483628.03898,30452958.757325504,327467.60020745,0,648626.47992335,15980761.10317047,1458245.4954229996,258625,0.11143500546618947,2037.5,48455.0461818,38476.72426537,42549.69664765,548582,34679436.969385654,2063129.82073717,0.03,74.1150856800753,0.2051016421046881,763427.871165644,2111.61508568,1147564.11314866,0.4008061212369605,0.2900907440176332,0.5323907084199715,0.816850973965542,48.80104503,821315434.948772,21.47109931911165,18996422.831241414,234369645.59484354,1497.1607434235395,254620187304.062,11446591164.14694,85.5225590467059,53044.412189378876,0.000286573555070082,50.232215035370935,163,2.09187343578291,565366
2016-11-12,716.0296559414908,721.5473980046393,700.5470533442309,702.870105069507,18318541.442803204,0.00015729,17991192.991652116,2100.0,4.79576212952231,6228196676.678611,20513153.066103224,15985959.39500301,25561.20705758,1478079.8573933386,120594476,2.576777625837065,2.4640158549602496,1.5482945206676333,0.6414992558105832,455984868.97551346,11249497647.672245,18540483.51454262,232335.30053053,0,647846.06870788,15982861.10317045,1478079.8573933386,231859,0.11070818131876105,2100.0,29924.72383386,29144.31261839,26341.61827305,548567,21062443.58899373,2126416.01155733,0.0202251,66.6605662000788,0.20235952142230754,717824.261904762,2166.6605662,810270.45668433,0.4049927915636157,0.2927659045712259,0.527617242089384,0.816727931762218,68.79221998,570306876.6980999,14.235387106555244,18318541.442803204,163528632.3217163,1039.6303034963857,254620187304.062,11484958568.989054,85.57560315372018,46918.876277510324,0.000287504760220651,49.35821330783727,168,1.47706744423987,583489
2016-11-13,702.9694410818165,710.8181595881586,683.8473119828953,704.0926823289249,24891223.83787858,0.0001582,19875977.46176857,1775.0,4.0531107234371,6231204343.456693,23814020.959301315,15987736.08088876,28247.91176765,1248936.9226592644,108464783,2.7624269572017153,2.879348597028828,1.5501748678745462,0.6004029648864856,453537266.9869568,11247212520.857395,22180330.42350025,250954.465405,0,644571.10226813,15984636.10317045,1248936.9226592644,213970,0.11131370206461726,1775.0,37119.65982327,33844.69338352,31522.8782074,503054,26118373.921032995,1797327.8192925,0.01975565,61.1650291700683,0.20113722222726765,763836.5,1836.16502917,862303.7858006,0.4045236528767835,0.2882342223455317,0.5276187315428259,0.8143824667278868,63.69536433,606739738.9494281,13.900597586554083,24891223.83787858,176578195.91578677,1206.1125424893312,254620187304.062,11227481856.536915,85.54851947622443,43037.331440016475,0.000285857966864514,49.45499532001105,142,1.7141376190242,527525
2016-11-14,702.6461811707692,713.85,695.5952259591505,705.6024640819085,27259482.162015937,0.0001582,30083604.027127985,2150.0,4.90874147521355,6237454802.504789,33875805.07264113,15989887.98722232,42632.85984933,1517133.7059468143,137208581,2.718846340316319,3.0644098020429134,1.5817551317895584,0.5777327798688024,455916060.0124966,11280973045.061354,29005006.86592032,403485.45089591,0,646099.63194716,15986786.10317038,1517133.7059468143,273607,0.11163281501431908,2150.0,46478.43280601,48006.96248504,41104.3301703,617205,32797207.911433462,2177044.96421346,0.027579245,80.3479476400658,0.20722062576138323,797724.308139535,2230.34794764,1205292.55011412,0.4044967080628403,0.28723643653808456,0.5273860892913051,0.8136888430298674,39.62171639,850506955.0254518,19.46111729026286,27259482.162015937,284716919.7271318,1377.997513023145,254620187304.062,11264934608.53305,85.39680883267619,56697.01375274122,0.000293661885989759,49.57252983546164,172,1.95282369733576,640753
2016-11-15,705.4480390747614,719.4638625791465,700.1449954098089,712.8257990262845,32686495.36347026,0.0001582,33937075.1279234,1950.0,4.45157137754821,6246272657.06953,37050808.562073566,15991839.7638264,47641.20273785,1389076.94802747,132782095,3.283769510044465,3.0023142545719486,1.6850616057454693,0.5876877772852412,458297468.66484255,11389530640.510002,35886839.728123255,394781.04319013,0,643362.53305873,15988736.10316028,1389076.94802747,279913,0.11269331957843372,1950.0,54749.39151098,52012.29262255,50378.30162628,632006,39000573.16227342,1974529.15358895,0.02781731,81.4616401800468,0.20731072671672846,851167.275641026,2031.46164018,1484554.05089534,0.4042854139139138,0.2863164152001628,0.5258358989727739,0.8136804877718657,40.50026307,1057517851.3843673,19.815581578017447,32686495.36347026,281221152.10956234,1673.271854039938,254620187304.062,11270189091.78148,85.47600300774675,58028.96744749299,0.000291024854794168,49.967477935035504,156,2.3489556284202,651339
2016-11-16,712.6780731039204,746.8186373159097,705.69,746.679437106048,57863466.16400322,0.00015001,61340343.73072637,2137.5,4.87895482990489,6269642008.89369,72778257.01182252,15993979.86952486,82663.34345418,1586132.126353009,135896300,4.326418671128368,3.601134469588677,1.705257084444454,0.5845988651295153,484452802.2472547,11866029637.54296,54294784.79402203,453260.51503724,0,652857.25419639,15990873.60305011,1586132.126353009,292039,0.11131493813998357,2137.5,88582.55866655,98077.27980421,73168.62231652,618098,65732698.075118184,2164387.72604942,0.03,79.8788540800462,0.2029664293576623,794715.204678363,2217.37885408,1621959.81131995,0.4312599344986646,0.2998826004310196,0.5267529773017757,0.8135176703747378,35.27965281,1203575468.7195497,22.26150352776153,57863466.16400322,336342018.48321754,1947.2243377580073,254620187304.062,11412559999.530842,85.50955806866457,59274.113063216566,0.000273521187512627,51.72806163320012,171,2.62411431734118,621011
2016-11-17,746.2754874290256,758.1846610691447,732.94,735.8049580029385,48852098.762802735,0.0001692,52563920.59255416,1987.5,4.53600825601437,6281814034.743201,58939360.28422729,15995969.87725137,71484.60235619,1461444.6850686728,142848727,4.27087535645063,3.425718089960388,1.6597898050561581,0.5376933831930036,485888414.97006243,11759839928.48305,46733248.643292546,500104.27754066,0,660786.70963015,15992861.10288997,1461444.6850686728,274309,0.12441581922697834,1987.5,72225.46234159,80154.91777535,63555.14692243,613201,53108688.334965676,2012500.86808104,0.02716865,88.5374776900269,0.23733529760474495,898419.666666667,2076.03747769,1261735.28021464,0.43196912835728546,0.3010580445504899,0.5267932337374098,0.8112130027150899,31.97905281,927776764.3941224,19.977599568800503,48852098.762802735,367735717.4298898,1513.0059546447621,254620187304.062,11960948406.51797,86.31968910118971,65103.208150679755,0.000322765485966556,50.89250816080877,159,2.05762104141161,625675
2016-11-18,737.070631192118,773.58,731.4031658315527,750.1668563262326,28357510.729183443,0.00016544,37141287.7242043,1850.0,4.2217080112406,6294979729.2765465,42564897.580332644,15997822.31132994,49549.54879561,1386720.645493863,137745349,4.88192947199912,3.693580186483162,1.700263654935439,0.39865004508575863,493696028.405865,11989295191.841568,38756920.13568383,421874.37956356,0,658631.3224071,15994711.10275978,1386720.645493863,274958,0.12401030464351605,1850.0,58940.48000976,56785.09278671,51704.93601866,634918,44180529.99181217,2011089.71225163,0.02458292,83.3166806700665,0.2271343676451587,930711.817567568,1933.31668067,1187311.26336098,0.4344481389711847,0.30313102992256236,0.5271110101335389,0.7779954714840598,37.91344504,889983265.6919309,18.426833886769728,28357510.729183443,316228060.5111908,1401.7294606420564,273352852497.924,11795072586.327938,86.30321278389877,62452.41145902739,0.00030301602670226,51.54181407306899,148,1.870023000389,624376
2016-11-19,747.7255169268432,764.0629694205206,743.1119315383924,758.3367208655956,18044524.93275212,0.00016368,24556573.8158044,1775.0,4.05010822903589,6301743191.789015,28044856.78285982,15999599.22559802,32689.19338477,1333404.529441848,120356606,5.340401131686152,3.627427307091859,1.7690885627785011,0.4952147494917185,489220143.42247266,12016781422.212254,30109381.677783135,355221.595318,0,651239.54164036,15996486.10264975,1333404.529441848,250952,0.12295867796002348,1775.0,44724.50290052,37332.72213378,40080.97415151,589405,33597664.64483856,1989192.7397282,0.01882337,72.229440390083,0.2162156658993559,847581.732394366,1847.22944039,939421.89686254,0.43141072316267426,0.30267914085092246,0.5262358331847768,0.7688336763619816,45.03241445,705706711.1737258,14.140375671751999,18044524.93275212,266847371.35356638,1197.3205371072986,281800917193.195,12040304048.794498,86.77450641060291,54259.75378883754,0.000287821736387835,51.33289101339619,142,1.59384785820029,577027
2016-11-20,756.4688816380528,772.95,715.9852390588788,730.9120165512257,35013607.95175656,0.0001792,25139200.98547861,1600.0,3.65043666007253,6303650516.963613,28379123.42094848,16001201.19185139,34420.72017549,1168561.3017884272,116493131,4.262773102765347,3.060507224752763,1.7238746596842514,0.43044872997086714,474978713.3549298,11684215201.375418,25793816.72764739,347927.70379172,0,650343.23848034,15998086.10261974,1168561.3017884272,245259,0.13087886580030383,1600.0,39753.14139694,38856.83823692,35317.02333551,602966,29033739.163117263,1793075.14567049,0.013667,74.3585049400691,0.22143038413403654,910102.5859375,1674.35850494,1039360.05059038,0.4524622228832696,0.31194877313361297,0.5273362531380018,0.7661334561795935,45.98106425,759097458.5904875,9.981704569714022,35013607.95175656,254109281.54444414,1258.939075487655,281800917193.195,12133021238.39065,86.71038771738017,54307.794582380215,0.000303183593425725,49.777150981928145,128,1.72374570140005,581103
2016-11-21,733.1282915641036,749.89,728.6572712374305,738.1626292232111,22964013.361465298,0.0002,37008687.87954669,1737.5,3.96371557431524,6311921756.007047,42772802.111366466,16002941.26009843,50248.92999954,1279680.88457408,128224763,4.356801541630616,3.0637918640100543,1.7156169799024255,0.34973035168299954,474607476.05474865,11783981824.937866,41383548.91561432,486130.97701595,0,644403.22551164,15999823.60261964,1279680.88457408,285455,0.1473013967855056,1737.5,64015.22887945,58075.21591075,56188.94296824,657439,47147663.14743411,1947167.54100154,0.020250185,95.3379124800207,0.24598286375993222,922480.309352518,1832.83791248,1275504.18106566,0.4528221069341281,0.3119778888948755,0.5272448051517704,0.7569170049651702,32.9125778,939417737.3836209,14.91440267832447,22964013.361465298,358038859.6757598,1428.9047917504445,281800917193.195,11711028140.597864,86.54243931363106,70217.03837460668,0.000333985785780596,49.93316697796593,139,1.94011030843266,608552
2016-11-22,740.178714251791,755.16856073489,729.4,749.6946517614667,31488384.396856166,0.0002057,38714766.00331067,1675.0,3.82073588969917,6324177834.593882,44095557.103329495,16004618.73020634,51757.86923374,1252896.110593221,128483293,3.75567116151776,3.2975412287257226,1.762794683914584,0.30917930506484936,485730963.3105101,11969083798.737316,34995919.049373664,439494.18170913,0,649374.96147217,16001498.60261964,1252896.110593221,284460,0.15386312235762717,1675.0,53979.72659378,58951.46255431,46786.13327321,687399,40376710.149392486,1877125.54312379,0.01611905,100.452179339957,0.2641425750297212,958830.544776119,1775.45217934,1355651.41531002,0.43374831718577345,0.3126591763936847,0.5272420649860631,0.7543519466662502,36.40889747,1014024110.7833548,12.057011971019497,31488384.396856166,328740627.3980413,1475.160875682618,281800917193.195,11849045646.511002,86.57166955606904,75137.99689292228,0.000353132881037756,50.49313887838688,134,1.97214633031183,617504
2016-11-23,750.7634164815081,753.6772887125925,730.7690723027733,740.7169669252177,27283004.162439078,0.0002,38552641.41986911,1837.5,4.1909230406666,6344661628.344231,43197285.23096228,16006459.92092412,52010.98818649,1362029.0842197554,139816482,3.915070574834033,3.275754812231269,1.7510536169403965,0.29730092094453414,486610107.47662073,11862317940.850012,33285436.848923825,444200.55859772,0,656480.89519359,16003336.10261958,1362029.0842197554,270755,0.1482480635885448,1837.5,51171.09760744,58277.03132886,44905.05446507,626427,37930080.66001699,2059234.73760595,0.0202,110.846351140029,0.3034617442403815,951132.530612245,1948.34635114,1459560.00247377,0.43142976986860976,0.312885526977299,0.5273460843120886,0.7543132591351122,36.02727595,1081884720.2901404,14.973054422443024,27283004.162439078,329259363.28530955,1727.0723009866142,281800917193.195,12026537891.011831,86.5697796796111,82163.78456182592,0.000409397245258629,49.7672316772254,147,2.32997620229296,636445
2016-11-24,744.9304729936682,755.2104499135758,728.0691152627599,736.4401671792098,23239305.87713438,0.00020495,37951505.93855841,2025.0,4.61798390715155,6362638832.513531,41812812.03857551,16008488.11711833,51469.79022983,1493143.826357394,154178775,3.688498883409764,3.2413718566147733,1.759165505547462,0.3096514099641771,486614740.5677541,11801632651.349201,35396220.076920025,435470.98115465,0,659946.37104292,16005361.10260949,1493143.826357394,334765,0.15112090232688785,2025.0,53241.01342751,56706.48927684,48004.3143805,747902,39257526.176937126,2269360.73123921,0.0202,133.741223550163,0.294579053001679,951720.833333333,2158.74122355,1552337.05590069,0.43311546044467425,0.31316594689067945,0.5272529023969955,0.7540457775423565,36.7541393,1144623452.5649028,14.894570514774992,23239305.87713438,321096694.8488211,1530.4457703882342,281800917193.195,11921376640.774946,86.48346578128529,98614.75667822716,0.000399507784714651,49.25314462319514,162,2.07558885509156,737874
2016-11-25,735.7434981574353,747.3260938817091,727.3151111975558,739.0326274062838,18179777.384181306,0.0002025,32973412.666920923,1900.0,4.33240887091516,6368192542.099582,38395018.11873384,16010391.5285598,44577.62932002,1405401.8803331384,143304562,3.719489049449685,3.239165732761533,1.724153192584678,0.30274244303335734,484936176.38523227,11840334132.94249,36189799.85155751,429441.36821461,0,655598.05207713,16007261.10260938,1405401.8803331384,314930,0.14978625303550555,1900.0,56255.5601944,51907.24122861,48925.94828581,669532,41611405.30337043,2129276.7354837,0.0272676,139.322867030234,0.32723164762990914,942793.171052632,2039.32286703,1246819.0421146,0.4331523207735776,0.31315803525243774,0.5267654160576845,0.7539527799744393,37.27461369,922253592.7489586,20.16944016430099,18179777.384181306,317651424.411394,1377.4600657607994,281800917193.195,11813428532.884445,86.83534135002257,103055.06278826036,0.00044239312555171,49.04266057801331,152,1.86222472131967,682142
2016-11-26,737.9012609614426,749.6,722.9940720393794,736.5652879674067,15428467.003679937,0.0002,24721848.14109824,1912.5,4.36039059434435,6373754714.539593,27658084.50575732,16012306.96400946,33651.05789391,1405023.720767096,143267132,3.165771593907238,3.524676688536267,1.6099529176340106,0.24566325006240097,481926208.7765846,11761186228.251242,24432666.53160877,332461.17344048,0,655991.68231979,16009173.60259934,1405023.720767096,271985,0.1469305851782584,1912.5,37254.19437085,37647.82461351,33257.42765125,608887,27368902.896267854,2143285.13505925,0.01912,98.9995515401172,0.2674055929583869,936386.483660131,2011.49955154,935141.64204751,0.4243816771304945,0.3114149484300908,0.5217476790482176,0.7497076745313375,48.1535135,687004543.4529905,14.046563943041503,15428467.003679937,244243573.81330094,1128.295633595381,281800917193.195,11828490473.788387,86.72515993757257,72730.31020087286,0.000363989012408773,48.45207082558834,153,1.53582132981573,654741
2016-11-27,737.5409259923405,746.2000000019608,724.0504626685005,729.4272782391799,13792799.311538696,0.0002,19093757.556719072,1800.0,4.10343565802065,6378230475.728312,22471374.37499285,16014109.08860099,26237.01910083,1309934.0085096438,119610537,2.568854365013638,3.3207922867737683,1.5814079922224547,0.22517764411486307,475315969.312263,11651843795.124857,21169907.116760124,261517.93776578,0,653138.81401971,16010973.60246933,1309934.0085096438,243962,0.1455482231677382,1800.0,33731.12141224,30878.25311216,29089.88740091,564102,24547523.9350339,2017209.5388793,0.01517241,83.5886052100162,0.24934565558130078,830628.729166667,1883.58860521,778261.54723429,0.4220058959147319,0.31114800894308925,0.5217074742345741,0.7493179307623292,61.22323287,566372926.7986283,11.041586583362113,13792799.311538696,190317355.8415021,1004.0257378960334,281800917193.195,11763112935.205053,86.68409094340782,60830.86482693701,0.000342629611209943,48.11687506992487,144,1.379646849744,589127
2016-11-28,727.2349720260693,743.8689040710207,727.1027419604508,736.0960604825702,22364615.324029,0.0002,28496458.400966994,2050.0,4.67275899029145,6385566946.100969,31870345.082458448,16016162.20294305,39031.83412169,1496669.0916919936,148857210,2.6986983435639877,3.4596404725332057,1.596588746858642,0.20540507527104315,467291309.7307823,11690828044.04396,38050356.24465559,431685.50941363,0,640052.76133894,16013023.60242917,1496669.0916919936,296689,0.1460164967504384,2050.0,56739.12721923,43653.07453846,52117.88680246,653830,41424242.92614704,2297377.53039031,0.0273976,108.74537861013,0.26759703296098336,907665.914634146,2158.74537861,1145946.027881,0.42216381068840997,0.31093186742605644,0.521712814984807,0.748747820542936,37.09418837,836635122.2813191,20.002507856849057,22364615.324029,315166028.9125332,1279.591212213145,281800917193.195,11698944443.835712,86.77112363057027,79393.0961122562,0.00036652986329119,48.16739671763923,164,1.75266663793494,701286
2016-11-29,735.6437117747499,754.1,727.5272391219153,731.4229921288309,21885785.798786167,0.0002,31433925.439775802,1862.5,4.24487876875389,6390869502.725947,35406330.80401174,16018028.21307719,42963.27283993,1362691.4865100817,135259249,2.0304430030753595,3.4167432629276937,1.534673103403707,0.1556133808024047,468758291.6240011,11717234335.108929,30967955.31582447,431176.24906666,0,640689.64016621,16014886.10237892,1362691.4865100817,289360,0.1463292871420222,1862.5,47755.7997616,48392.67858887,42326.39401266,641438,34940360.68006041,2087251.53675705,0.02904104,101.056002260142,0.2555199884595032,907780.194630872,1963.55600226,1174341.94422835,0.4109578137773245,0.3107580778070533,0.5203921482417003,0.7456420231582446,37.14231973,859203097.7995542,21.247773405314764,21885785.798786167,315468565.7924769,1339.4951621194136,281800917193.195,11772155724.325466,87.03703969031181,73937.26386074582,0.000349239709220348,48.16846694102233,149,1.83079571872628,654015
2016-11-30,734.7198041400886,751.4576129279667,729.0323973519818,744.9909957259695,26091930.649663813,0.0002,30193538.801908188,1775.0,4.04500660818127,6400088554.49173,35628359.68816101,16019806.45213903,40680.89156352,1317412.9010841604,129537975,3.065119842932135,3.675498295591057,1.5472062789537269,0.1688737029420952,474492834.2881967,11887637165.367281,31223407.356490973,420292.39960609,0,639302.05948981,16016661.10234862,1317412.9010841604,292055,0.148440890263004,1775.0,49391.01103179,48003.43035539,42068.47223992,638247,36658228.2427438,1989192.7397282,0.0292746,99.0792050600576,0.2517917071383321,912239.26056338,1874.07920506,1154921.04500752,0.4092072623137164,0.3122075838610415,0.5205667255387407,0.7456921601690516,38.10837673,857187540.5219759,21.727738430466683,26091930.649663813,311942889.84151113,1343.034186642439,281800917193.195,11736371157.062153,87.41467878165821,73537.0270283284,0.000339248446559723,48.741787070079006,142,1.80952052263077,632745
2016-12-01,742.6601231560617,756.7015157282808,741.1132346190997,753.1592065994025,37261966.29381793,0.00020464,40194861.71368999,1825.0,4.15847662348906,6412848052.242397,43832224.10225951,16021634.15009265,53331.82937955,1375456.710952659,131330987,3.4367971552730117,3.860197492797467,1.643979949369613,0.24103537632883493,484018689.14280885,12072731073.24807,38002094.79067029,374583.78343897,0,642211.49284576,16018486.10227622,1375456.710952659,234502,0.15423203360512444,1825.0,55248.56489266,58157.99824861,50422.3960236,516222,41639457.17923982,2045226.3380304,0.03087434,105.018226780075,0.3375220792506585,899527.308219178,1930.01822678,1251946.31801272,0.4096202351743799,0.3123538987345491,0.5191691837200934,0.7408572786743598,42.76342653,943560528.6920917,23.26921542423787,37261966.29381793,282314399.31242126,1827.8192883916079,281800917193.195,11956838349.935352,87.26103350788742,79149.60262849447,0.000447835100681444,49.36252041199407,146,2.42520915035144,597486
2016-12-02,754.1945845097138,788.6153522298276,753.1145176632785,779.3096916536163,38054204.82357104,0.0002055,52244625.59481545,1787.5,4.07257401588509,6430617514.481083,58288335.8490458,16023425.57898909,67647.88865493,1380490.509128799,138806329,3.0782133590909337,4.201240577525767,1.7515357390547441,0.21341895519508836,493282532.2201977,12372495475.014801,54943559.51560193,474523.47419454,0,638716.83326534,16020273.60227622,1380490.509128799,320261,0.15870813965089128,1787.5,78968.12328132,75473.4637009,71142.54823535,740503,60987269.76983228,2035532.46509142,0.03,119.286168620166,0.28765598137733506,970673.629370629,1906.78616862,1556598.85775437,0.3918196951221463,0.316848997414035,0.519166600670423,0.7391341354748492,33.760761,1202165006.7975593,23.16907148188194,38054204.82357104,366475609.78147525,1623.4438034654274,286349136082.59,12079601902.024046,87.54279804718642,92124.99225201494,0.000372465484776479,50.155875629113936,143,2.10208312154626,732501
2016-12-03,778.7204130789893,827.0138827454847,728.7327398299959,764.7209445496998,29987716.297558296,0.0002,26678353.81087545,2150.0,4.897823322384,6481131006.415487,29346568.04513631,16025579.1091694,34823.11614328,1647137.5065166585,151740075,2.0771910751984155,3.5343644597053228,1.7107985029031634,0.19855756335431146,485578639.80086166,12274946446.740053,30427366.15647354,300357.81523925,0,633823.26699589,16022423.60220592,1647137.5065166585,287254,0.1532220936294566,2150.0,43199.48854213,38305.92227268,39716.68241273,651098,33095580.3907344,2451895.01734189,0.025828,100.319082420106,0.26755240726636415,882209.738372093,2250.31908242,916565.79688779,0.3938578654577209,0.3083609206142397,0.519479978266,0.7391293147230835,53.34445381,702190651.7414923,19.787101171308024,29987716.297558296,230107266.44463694,1078.4715230909796,286765766820.55,12460989121.953386,88.23704880856509,76855.49919697328,0.000349234762335773,49.588488362548986,172,1.4077232565417,704699
2016-12-04,763.5955722211748,790.40159,749.3504764641234,765.4077248157623,14573883.036697,0.0002,15438067.958726935,1850.0,4.21391956207195,6486468852.087328,17210182.213175535,16027433.23425344,20144.13888238,1417803.2573348926,126449322,6.093675196357773,3.4479594447334856,1.7147363438777405,0.16957105432461986,485654405.5275269,12280685032.174324,15533225.956289891,226603.9036581,0,633699.10146405,16024273.60212792,1417803.2573348926,245198,0.1532760278199884,1850.0,22580.62197575,22456.45644391,20268.30441422,545611,17305340.21073849,2109770.13120116,0.02619433,92.9477060500676,0.2905132827005914,854387.310810811,1942.94770605,767872.62901699,0.29195715780829,0.3075225781956718,0.5194980703748294,0.7379544072283544,70.71490536,588482332.2370789,20.074814269029783,14573883.036697,173664731.20608452,1078.5749045328612,286765766820.55,12232196716.876188,87.97705998075678,71233.27589167132,0.00037907203994323,49.69809492834452,148,1.40736280796573,645140
2016-12-05,771.0257366468189,789.417564022792,744.8416830444041,751.2150711497266,40253194.188109614,0.0002034,41809985.40096899,1900.0,4.32729619196511,6492817070.811961,46529570.77803793,16029337.39661158,55548.83954332,1430074.3798597315,135162972,4.553108844669307,3.266852734501382,1.5581547733082455,0.2065667558000068,474720997.0498771,12062431723.948215,44055751.26891841,440155.98320807,0,630715.37193977,16026173.60206787,1430074.3798597315,278799,0.15309322571761547,1900.0,64803.02069076,61819.29116648,58532.5690676,629002,48775336.64598735,2166790.94555795,0.03,107.831603380162,0.29111184483394875,889230.078947368,2007.83160338,1502113.22359324,0.2967267664675986,0.30971741592913726,0.5153305796908532,0.7358428120065914,36.41021414,1130596650.8995817,22.58012178725892,40253194.188109614,331292523.54096377,1797.4452400780651,286765766820.55,12337530872.298456,88.41439574269778,81161.69122798195,0.00038677184416013,48.58681575981608,152,2.38808974151631,673152
2016-12-06,750.8525110389164,778.2625047118622,750.3380380669721,758.6055705202157,25699892.229216013,0.00020463,38319220.537950546,1875.0,4.26985852733007,6499660228.467871,43031993.55429161,16031215.47297133,50478.6536111,1423344.985827002,144156552,4.659587520358192,3.1797908063647213,1.5611256139984784,0.30152798187602975,482557863.3148066,12167169392.183826,34548323.69486881,416728.37015425,0,635682.84760532,16028048.60206779,1423344.985827002,321714,0.15533817837321567,1875.0,51719.4053912,56686.88105675,45511.17794555,702860,39261096.71120988,2138280.53837956,0.034204645,118.333729590191,0.27922062563417166,961043.68,1993.33372959,1401445.05150175,0.2962284469816417,0.3096662240587543,0.5153216746933662,0.7265446516041323,38.46162093,1063861219.7157761,25.965338641462736,25699892.229216013,316345725.925819,1513.6175336706794,286765766820.55,12217692226.322754,88.68618908897677,89829.1843554169,0.000367822754340812,48.86524837385271,150,1.99391778092614,752811
